GEOID,Total Population,Population 18 to 64,Total Households,Aggregate Income,% Group Quarters,Poverty Rate,% Near Poverty,% No Bachelors,Unemployment Rate,PCA Score,Percentile,Mobility Category
29047021209,5101,2669,1602,183407100,0.74495197,4.83201208,1.736504341,60.0160901,1.53019024,-1.24338981,30.58161351,Existing Mobility
29095014904,6913,4027,2637,314819300,0.028931,3.898683884,3.178544822,58.36853221,4.71190781,-0.884935753,42.40150094,Existing Mobility
29037060309,4074,2507,1636,171703000,0,10.25129637,0.558436378,66.02658789,3.068592058,-0.759792272,45.02814259,Existing Mobility
29095016400,1636,1154,786,36083700,1.283618582,23.65684575,16.89774697,96.45093946,5.555555556,2.352751323,95.12195122,Extremely Limited Mobility
29095989200,21,10,5,,0,0,0,100,0,,,Excluded
29095013307,2819,1490,1106,68338300,0.248315005,24.4295302,8.456375839,78.65897621,6.614447346,1.339862649,85.92870544,Very Limited Mobility
29095012501,3688,2153,1519,107442400,0.135574837,10.21830005,8.732001858,77.59562842,3.882418192,0.309495167,68.48030019,Limited Mobility
29095011100,3249,1977,1305,105270900,0.092336103,10.77389985,12.34193222,71.70236753,4.837683004,0.609181647,72.79549719,Limited Mobility
29095014601,4941,2645,2120,169321100,0.10119409,6.427221172,3.856332703,72.90767903,4.313099042,-0.384708111,52.72045028,Limited Mobility
29047021403,2565,1633,1193,88571300,0,2.939375383,7.470912431,66.98319942,8.549222798,0.032088106,62.6641651,Limited Mobility
